ID;Titulo;Prioridad;Puntos;Sprint;Estado;RF relacionados
HU01;Iniciar sesion con roles y doble factor;Alta;3;Sprint 1;Hecho;RF01, RF02
HU02;Gestionar el catalogo de productos;Alta;8;Sprint 1-2;Hecho;RF03
HU08;Cargar el catalogo de forma masiva;Media;5;Sprint 2;Hecho;RF04
HU04;Consultar el tablero de indicadores;Alta;5;Sprint 2;Hecho;RF09, RF13
HU03;Registrar lotes y fechas de vencimiento;Alta;8;Sprint 3;En progreso;RF06
HU05;Buscar medicamentos en el punto de venta;Alta;5;Sprint 4;Sprint Backlog;RF05
HU06;Registrar una venta con descuento de stock;Alta;8;Sprint 4;Sprint Backlog;RF06, RF07
HU09;Vender por unidad, blister o caja;Media;5;Sprint 4;Sprint Backlog;RF08
HU07;Registrar proveedores y ordenes de compra;Media;8;Sprint 5;Backlog;RF10
HU10;Emitir comprobantes electronicos a la SUNAT;Alta;13;Sprint 6;Backlog;RF12
HU11;Consultar reportes de ventas;Media;5;Sprint 6;Backlog;RF13, RF14
HU12;Auditar las operaciones criticas;Media;3;Sprint 6;Backlog;RF15
